case,intent,stage,update_revision,update_scope,signature,accepted,store_revision,store_scope,operation
J00_g0_c1_color,keep,forged_opposite,2,"[[""J00_g0_c1_color"", ""swap""]]",forged,0,1,"[[""J00_g0_c1_color"", ""keep""]]",keep
J00_g0_c1_color,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J00_g0_c1_color,keep,old_replay,1,"[[""J00_g0_c1_color"", ""keep""]]",5f8bb24a7a3454e8c4bcd857861b29c06c612a3a605dbfdbf7c4ea8b793db6fc,0,2,[],none
J00_g0_c1_color,swap,current,1,"[[""J00_g0_c1_color"", ""swap""]]",3601ae217b490cb289f862dd1919438d2b8d6fff875b88b437477fd08895883a,1,1,"[[""J00_g0_c1_color"", ""swap""]]",swap
J00_g0_c1_color,swap,forged_opposite,2,"[[""J00_g0_c1_color"", ""keep""]]",forged,0,1,"[[""J00_g0_c1_color"", ""swap""]]",swap
J00_g0_c1_color,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J00_g0_c1_color,swap,old_replay,1,"[[""J00_g0_c1_color"", ""swap""]]",3601ae217b490cb289f862dd1919438d2b8d6fff875b88b437477fd08895883a,0,2,[],none
J00_g1_c0_recipient,keep,current,1,"[[""J00_g1_c0_recipient"", ""keep""]]",1fa8b477ec3c80a408aa515c491b13d6d52582be6ebd3528987efc53fd485821,1,1,"[[""J00_g1_c0_recipient"", ""keep""]]",keep
J00_g1_c0_recipient,keep,forged_opposite,2,"[[""J00_g1_c0_recipient"", ""swap""]]",forged,0,1,"[[""J00_g1_c0_recipient"", ""keep""]]",keep
J00_g1_c0_recipient,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J00_g1_c0_recipient,keep,old_replay,1,"[[""J00_g1_c0_recipient"", ""keep""]]",1fa8b477ec3c80a408aa515c491b13d6d52582be6ebd3528987efc53fd485821,0,2,[],none
J00_g1_c0_recipient,swap,current,1,"[[""J00_g1_c0_recipient"", ""swap""]]",a40c8d4c43a1bf61a18bf8bf9de38c1cfd24d86c28e3886b2aef5d5429f906dd,1,1,"[[""J00_g1_c0_recipient"", ""swap""]]",swap
J00_g1_c0_recipient,swap,forged_opposite,2,"[[""J00_g1_c0_recipient"", ""keep""]]",forged,0,1,"[[""J00_g1_c0_recipient"", ""swap""]]",swap
J00_g1_c0_recipient,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J00_g1_c0_recipient,swap,old_replay,1,"[[""J00_g1_c0_recipient"", ""swap""]]",a40c8d4c43a1bf61a18bf8bf9de38c1cfd24d86c28e3886b2aef5d5429f906dd,0,2,[],none
J00_g1_c0_color,keep,current,1,"[[""J00_g1_c0_color"", ""keep""]]",29b52151c3e9a5f393cbf4ed9bd569dbf26ad3ca7d231852bc6384c0da764e97,1,1,"[[""J00_g1_c0_color"", ""keep""]]",keep
J00_g1_c0_color,keep,forged_opposite,2,"[[""J00_g1_c0_color"", ""swap""]]",forged,0,1,"[[""J00_g1_c0_color"", ""keep""]]",keep
J00_g1_c0_color,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J00_g1_c0_color,keep,old_replay,1,"[[""J00_g1_c0_color"", ""keep""]]",29b52151c3e9a5f393cbf4ed9bd569dbf26ad3ca7d231852bc6384c0da764e97,0,2,[],none
J00_g1_c0_color,swap,current,1,"[[""J00_g1_c0_color"", ""swap""]]",e042feb68286e64bc2d8ecdddce24613ce438014a619882b358f9ac6f828ae2e,1,1,"[[""J00_g1_c0_color"", ""swap""]]",swap
J00_g1_c0_color,swap,forged_opposite,2,"[[""J00_g1_c0_color"", ""keep""]]",forged,0,1,"[[""J00_g1_c0_color"", ""swap""]]",swap
J00_g1_c0_color,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J00_g1_c0_color,swap,old_replay,1,"[[""J00_g1_c0_color"", ""swap""]]",e042feb68286e64bc2d8ecdddce24613ce438014a619882b358f9ac6f828ae2e,0,2,[],none
J00_g1_c1_recipient,keep,current,1,"[[""J00_g1_c1_recipient"", ""keep""]]",18280882fbd02b4850a75afaf83f25a4b82c586ab457d8af02633c699244379a,1,1,"[[""J00_g1_c1_recipient"", ""keep""]]",keep
J00_g1_c1_recipient,keep,forged_opposite,2,"[[""J00_g1_c1_recipient"", ""swap""]]",forged,0,1,"[[""J00_g1_c1_recipient"", ""keep""]]",keep
J00_g1_c1_recipient,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J00_g1_c1_recipient,keep,old_replay,1,"[[""J00_g1_c1_recipient"", ""keep""]]",18280882fbd02b4850a75afaf83f25a4b82c586ab457d8af02633c699244379a,0,2,[],none
J00_g1_c1_recipient,swap,current,1,"[[""J00_g1_c1_recipient"", ""swap""]]",197ce62753768b15dac3b02b1a72e8d4943af06f4806e3cfaedb759a72b3275e,1,1,"[[""J00_g1_c1_recipient"", ""swap""]]",swap
J00_g1_c1_recipient,swap,forged_opposite,2,"[[""J00_g1_c1_recipient"", ""keep""]]",forged,0,1,"[[""J00_g1_c1_recipient"", ""swap""]]",swap
J00_g1_c1_recipient,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J00_g1_c1_recipient,swap,old_replay,1,"[[""J00_g1_c1_recipient"", ""swap""]]",197ce62753768b15dac3b02b1a72e8d4943af06f4806e3cfaedb759a72b3275e,0,2,[],none
J00_g1_c1_color,keep,current,1,"[[""J00_g1_c1_color"", ""keep""]]",3ed6b202fd76e1b8a755be72547676248da973ab97faf60e0472960ffdc1ae5f,1,1,"[[""J00_g1_c1_color"", ""keep""]]",keep
J00_g1_c1_color,keep,forged_opposite,2,"[[""J00_g1_c1_color"", ""swap""]]",forged,0,1,"[[""J00_g1_c1_color"", ""keep""]]",keep
J00_g1_c1_color,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J00_g1_c1_color,keep,old_replay,1,"[[""J00_g1_c1_color"", ""keep""]]",3ed6b202fd76e1b8a755be72547676248da973ab97faf60e0472960ffdc1ae5f,0,2,[],none
J00_g1_c1_color,swap,current,1,"[[""J00_g1_c1_color"", ""swap""]]",f5960c76c6e106e3bd403c2eb6cdce9b9e832676d84ec0b5e4a7025ba0c17046,1,1,"[[""J00_g1_c1_color"", ""swap""]]",swap
J00_g1_c1_color,swap,forged_opposite,2,"[[""J00_g1_c1_color"", ""keep""]]",forged,0,1,"[[""J00_g1_c1_color"", ""swap""]]",swap
J00_g1_c1_color,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J00_g1_c1_color,swap,old_replay,1,"[[""J00_g1_c1_color"", ""swap""]]",f5960c76c6e106e3bd403c2eb6cdce9b9e832676d84ec0b5e4a7025ba0c17046,0,2,[],none
J01_g0_c0_recipient,keep,current,1,"[[""J01_g0_c0_recipient"", ""keep""]]",990694c2946d8d1d22782ea732bb69d194c67e6057a52132f9380c448d9301e6,1,1,"[[""J01_g0_c0_recipient"", ""keep""]]",keep
J01_g0_c0_recipient,keep,forged_opposite,2,"[[""J01_g0_c0_recipient"", ""swap""]]",forged,0,1,"[[""J01_g0_c0_recipient"", ""keep""]]",keep
J01_g0_c0_recipient,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J01_g0_c0_recipient,keep,old_replay,1,"[[""J01_g0_c0_recipient"", ""keep""]]",990694c2946d8d1d22782ea732bb69d194c67e6057a52132f9380c448d9301e6,0,2,[],none
J01_g0_c0_recipient,swap,current,1,"[[""J01_g0_c0_recipient"", ""swap""]]",0f4e4e7d9569d8a8632252150bb12940e523d01109d015832287d3ecf60b3333,1,1,"[[""J01_g0_c0_recipient"", ""swap""]]",swap
J01_g0_c0_recipient,swap,forged_opposite,2,"[[""J01_g0_c0_recipient"", ""keep""]]",forged,0,1,"[[""J01_g0_c0_recipient"", ""swap""]]",swap
J01_g0_c0_recipient,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J01_g0_c0_recipient,swap,old_replay,1,"[[""J01_g0_c0_recipient"", ""swap""]]",0f4e4e7d9569d8a8632252150bb12940e523d01109d015832287d3ecf60b3333,0,2,[],none
J01_g0_c0_color,keep,current,1,"[[""J01_g0_c0_color"", ""keep""]]",15a7a6bf7fc25c25666e9759045fe3fe16823327f5697194df1115518c032376,1,1,"[[""J01_g0_c0_color"", ""keep""]]",keep
J01_g0_c0_color,keep,forged_opposite,2,"[[""J01_g0_c0_color"", ""swap""]]",forged,0,1,"[[""J01_g0_c0_color"", ""keep""]]",keep
J01_g0_c0_color,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J01_g0_c0_color,keep,old_replay,1,"[[""J01_g0_c0_color"", ""keep""]]",15a7a6bf7fc25c25666e9759045fe3fe16823327f5697194df1115518c032376,0,2,[],none
J01_g0_c0_color,swap,current,1,"[[""J01_g0_c0_color"", ""swap""]]",85b307ab82a896189dc3d3fc89bbf26f85b105c22b558205b0707de6d022307c,1,1,"[[""J01_g0_c0_color"", ""swap""]]",swap
J01_g0_c0_color,swap,forged_opposite,2,"[[""J01_g0_c0_color"", ""keep""]]",forged,0,1,"[[""J01_g0_c0_color"", ""swap""]]",swap
J01_g0_c0_color,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J01_g0_c0_color,swap,old_replay,1,"[[""J01_g0_c0_color"", ""swap""]]",85b307ab82a896189dc3d3fc89bbf26f85b105c22b558205b0707de6d022307c,0,2,[],none
J01_g0_c1_recipient,keep,current,1,"[[""J01_g0_c1_recipient"", ""keep""]]",92e46cb5766f87580abce0f6783f78d0440e82567b2f5ce4ab2528cc7f27b21e,1,1,"[[""J01_g0_c1_recipient"", ""keep""]]",keep
J01_g0_c1_recipient,keep,forged_opposite,2,"[[""J01_g0_c1_recipient"", ""swap""]]",forged,0,1,"[[""J01_g0_c1_recipient"", ""keep""]]",keep
J01_g0_c1_recipient,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J01_g0_c1_recipient,keep,old_replay,1,"[[""J01_g0_c1_recipient"", ""keep""]]",92e46cb5766f87580abce0f6783f78d0440e82567b2f5ce4ab2528cc7f27b21e,0,2,[],none
J01_g0_c1_recipient,swap,current,1,"[[""J01_g0_c1_recipient"", ""swap""]]",7a19fefad0b37469980190e3a4e842607a39db323f311a9abad3eb86cf5cd17b,1,1,"[[""J01_g0_c1_recipient"", ""swap""]]",swap
J01_g0_c1_recipient,swap,forged_opposite,2,"[[""J01_g0_c1_recipient"", ""keep""]]",forged,0,1,"[[""J01_g0_c1_recipient"", ""swap""]]",swap
J01_g0_c1_recipient,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J01_g0_c1_recipient,swap,old_replay,1,"[[""J01_g0_c1_recipient"", ""swap""]]",7a19fefad0b37469980190e3a4e842607a39db323f311a9abad3eb86cf5cd17b,0,2,[],none
J01_g0_c1_color,keep,current,1,"[[""J01_g0_c1_color"", ""keep""]]",aa642d3debbf433df03a50fa759d59a8bdaeda27c8275c0fb94023dc7aa4ed34,1,1,"[[""J01_g0_c1_color"", ""keep""]]",keep
J01_g0_c1_color,keep,forged_opposite,2,"[[""J01_g0_c1_color"", ""swap""]]",forged,0,1,"[[""J01_g0_c1_color"", ""keep""]]",keep
J01_g0_c1_color,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J01_g0_c1_color,keep,old_replay,1,"[[""J01_g0_c1_color"", ""keep""]]",aa642d3debbf433df03a50fa759d59a8bdaeda27c8275c0fb94023dc7aa4ed34,0,2,[],none
J01_g0_c1_color,swap,current,1,"[[""J01_g0_c1_color"", ""swap""]]",d84f245b8b6660657fcb145a9e19bbe4c7d7ba02878bb1f9c1dd2999c1fc984e,1,1,"[[""J01_g0_c1_color"", ""swap""]]",swap
J01_g0_c1_color,swap,forged_opposite,2,"[[""J01_g0_c1_color"", ""keep""]]",forged,0,1,"[[""J01_g0_c1_color"", ""swap""]]",swap
J01_g0_c1_color,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J01_g0_c1_color,swap,old_replay,1,"[[""J01_g0_c1_color"", ""swap""]]",d84f245b8b6660657fcb145a9e19bbe4c7d7ba02878bb1f9c1dd2999c1fc984e,0,2,[],none
J01_g1_c0_recipient,keep,current,1,"[[""J01_g1_c0_recipient"", ""keep""]]",8e5bc560a5e2c6af5ed71a8710ce023fc6a8402774da04f89826c51c06c14fdf,1,1,"[[""J01_g1_c0_recipient"", ""keep""]]",keep
J01_g1_c0_recipient,keep,forged_opposite,2,"[[""J01_g1_c0_recipient"", ""swap""]]",forged,0,1,"[[""J01_g1_c0_recipient"", ""keep""]]",keep
J01_g1_c0_recipient,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J01_g1_c0_recipient,keep,old_replay,1,"[[""J01_g1_c0_recipient"", ""keep""]]",8e5bc560a5e2c6af5ed71a8710ce023fc6a8402774da04f89826c51c06c14fdf,0,2,[],none
J01_g1_c0_recipient,swap,current,1,"[[""J01_g1_c0_recipient"", ""swap""]]",ef41132a2f391b587f4219252e40f7a3d03f48f948776eeb61acb2efb422c1b5,1,1,"[[""J01_g1_c0_recipient"", ""swap""]]",swap
J01_g1_c0_recipient,swap,forged_opposite,2,"[[""J01_g1_c0_recipient"", ""keep""]]",forged,0,1,"[[""J01_g1_c0_recipient"", ""swap""]]",swap
J01_g1_c0_recipient,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J01_g1_c0_recipient,swap,old_replay,1,"[[""J01_g1_c0_recipient"", ""swap""]]",ef41132a2f391b587f4219252e40f7a3d03f48f948776eeb61acb2efb422c1b5,0,2,[],none
J01_g1_c0_color,keep,current,1,"[[""J01_g1_c0_color"", ""keep""]]",66b6f2b4a263c68afa46ff7dc641eb178b499cd163b756ad2a60ac356c6f92f4,1,1,"[[""J01_g1_c0_color"", ""keep""]]",keep
J01_g1_c0_color,keep,forged_opposite,2,"[[""J01_g1_c0_color"", ""swap""]]",forged,0,1,"[[""J01_g1_c0_color"", ""keep""]]",keep
J01_g1_c0_color,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J01_g1_c0_color,keep,old_replay,1,"[[""J01_g1_c0_color"", ""keep""]]",66b6f2b4a263c68afa46ff7dc641eb178b499cd163b756ad2a60ac356c6f92f4,0,2,[],none
J01_g1_c0_color,swap,current,1,"[[""J01_g1_c0_color"", ""swap""]]",020f924e61f02d51d7aa623aa847868959d12c04d875e4d1d571df380d6e8c42,1,1,"[[""J01_g1_c0_color"", ""swap""]]",swap
J01_g1_c0_color,swap,forged_opposite,2,"[[""J01_g1_c0_color"", ""keep""]]",forged,0,1,"[[""J01_g1_c0_color"", ""swap""]]",swap
J01_g1_c0_color,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J01_g1_c0_color,swap,old_replay,1,"[[""J01_g1_c0_color"", ""swap""]]",020f924e61f02d51d7aa623aa847868959d12c04d875e4d1d571df380d6e8c42,0,2,[],none
J01_g1_c1_recipient,keep,current,1,"[[""J01_g1_c1_recipient"", ""keep""]]",ed1e24cad25e4ca45105813afb86d561f0a49f10fcaf6dd78d0f1466743a97da,1,1,"[[""J01_g1_c1_recipient"", ""keep""]]",keep
J01_g1_c1_recipient,keep,forged_opposite,2,"[[""J01_g1_c1_recipient"", ""swap""]]",forged,0,1,"[[""J01_g1_c1_recipient"", ""keep""]]",keep
J01_g1_c1_recipient,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J01_g1_c1_recipient,keep,old_replay,1,"[[""J01_g1_c1_recipient"", ""keep""]]",ed1e24cad25e4ca45105813afb86d561f0a49f10fcaf6dd78d0f1466743a97da,0,2,[],none
J01_g1_c1_recipient,swap,current,1,"[[""J01_g1_c1_recipient"", ""swap""]]",675f8cf43f4cb3ca651653f9e10e0eed158cce49c948871dd816963e4f5ccc86,1,1,"[[""J01_g1_c1_recipient"", ""swap""]]",swap
J01_g1_c1_recipient,swap,forged_opposite,2,"[[""J01_g1_c1_recipient"", ""keep""]]",forged,0,1,"[[""J01_g1_c1_recipient"", ""swap""]]",swap
J01_g1_c1_recipient,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J01_g1_c1_recipient,swap,old_replay,1,"[[""J01_g1_c1_recipient"", ""swap""]]",675f8cf43f4cb3ca651653f9e10e0eed158cce49c948871dd816963e4f5ccc86,0,2,[],none
J01_g1_c1_color,keep,current,1,"[[""J01_g1_c1_color"", ""keep""]]",0e053dfacc76b10f57718c86c603c635bde8fd5f342aad888db90aaecc0ab426,1,1,"[[""J01_g1_c1_color"", ""keep""]]",keep
J01_g1_c1_color,keep,forged_opposite,2,"[[""J01_g1_c1_color"", ""swap""]]",forged,0,1,"[[""J01_g1_c1_color"", ""keep""]]",keep
J01_g1_c1_color,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J01_g1_c1_color,keep,old_replay,1,"[[""J01_g1_c1_color"", ""keep""]]",0e053dfacc76b10f57718c86c603c635bde8fd5f342aad888db90aaecc0ab426,0,2,[],none
J01_g1_c1_color,swap,current,1,"[[""J01_g1_c1_color"", ""swap""]]",38be2b3157de134520fa70194a488aab3fe792035c56977cecefeae86f9becf6,1,1,"[[""J01_g1_c1_color"", ""swap""]]",swap
J01_g1_c1_color,swap,forged_opposite,2,"[[""J01_g1_c1_color"", ""keep""]]",forged,0,1,"[[""J01_g1_c1_color"", ""swap""]]",swap
J01_g1_c1_color,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J01_g1_c1_color,swap,old_replay,1,"[[""J01_g1_c1_color"", ""swap""]]",38be2b3157de134520fa70194a488aab3fe792035c56977cecefeae86f9becf6,0,2,[],none
J02_g0_c0_recipient,keep,current,1,"[[""J02_g0_c0_recipient"", ""keep""]]",d8c44f888ee39afd06576d5991b0d516bbbcb1de7ffc80f1d897c0dbf29c7fc3,1,1,"[[""J02_g0_c0_recipient"", ""keep""]]",keep
J02_g0_c0_recipient,keep,forged_opposite,2,"[[""J02_g0_c0_recipient"", ""swap""]]",forged,0,1,"[[""J02_g0_c0_recipient"", ""keep""]]",keep
J02_g0_c0_recipient,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J02_g0_c0_recipient,keep,old_replay,1,"[[""J02_g0_c0_recipient"", ""keep""]]",d8c44f888ee39afd06576d5991b0d516bbbcb1de7ffc80f1d897c0dbf29c7fc3,0,2,[],none
J02_g0_c0_recipient,swap,current,1,"[[""J02_g0_c0_recipient"", ""swap""]]",3d30dbc9a23dbc74f46a024bc76198d6e090223417cdaa673426e045c1e4aea0,1,1,"[[""J02_g0_c0_recipient"", ""swap""]]",swap
J02_g0_c0_recipient,swap,forged_opposite,2,"[[""J02_g0_c0_recipient"", ""keep""]]",forged,0,1,"[[""J02_g0_c0_recipient"", ""swap""]]",swap
J02_g0_c0_recipient,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J02_g0_c0_recipient,swap,old_replay,1,"[[""J02_g0_c0_recipient"", ""swap""]]",3d30dbc9a23dbc74f46a024bc76198d6e090223417cdaa673426e045c1e4aea0,0,2,[],none
J02_g0_c0_color,keep,current,1,"[[""J02_g0_c0_color"", ""keep""]]",2ea055355a45408ace4901046d55668f6b67554817363679b9c2ee88043d4ece,1,1,"[[""J02_g0_c0_color"", ""keep""]]",keep
J02_g0_c0_color,keep,forged_opposite,2,"[[""J02_g0_c0_color"", ""swap""]]",forged,0,1,"[[""J02_g0_c0_color"", ""keep""]]",keep
J02_g0_c0_color,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J02_g0_c0_color,keep,old_replay,1,"[[""J02_g0_c0_color"", ""keep""]]",2ea055355a45408ace4901046d55668f6b67554817363679b9c2ee88043d4ece,0,2,[],none
J02_g0_c0_color,swap,current,1,"[[""J02_g0_c0_color"", ""swap""]]",0119924923758b2fd17986009067f2ac21e91870725bb5639e04bd056ec0a891,1,1,"[[""J02_g0_c0_color"", ""swap""]]",swap
J02_g0_c0_color,swap,forged_opposite,2,"[[""J02_g0_c0_color"", ""keep""]]",forged,0,1,"[[""J02_g0_c0_color"", ""swap""]]",swap
J02_g0_c0_color,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J02_g0_c0_color,swap,old_replay,1,"[[""J02_g0_c0_color"", ""swap""]]",0119924923758b2fd17986009067f2ac21e91870725bb5639e04bd056ec0a891,0,2,[],none
J02_g0_c1_recipient,keep,current,1,"[[""J02_g0_c1_recipient"", ""keep""]]",03f0dd5c5f2c6105fbc3f8d2a30676630049df927f53dccf55479b31d4fea0f1,1,1,"[[""J02_g0_c1_recipient"", ""keep""]]",keep
J02_g0_c1_recipient,keep,forged_opposite,2,"[[""J02_g0_c1_recipient"", ""swap""]]",forged,0,1,"[[""J02_g0_c1_recipient"", ""keep""]]",keep
J02_g0_c1_recipient,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J02_g0_c1_recipient,keep,old_replay,1,"[[""J02_g0_c1_recipient"", ""keep""]]",03f0dd5c5f2c6105fbc3f8d2a30676630049df927f53dccf55479b31d4fea0f1,0,2,[],none
J02_g0_c1_recipient,swap,current,1,"[[""J02_g0_c1_recipient"", ""swap""]]",265230ae36583e3fe2c5c00330929d4b23c4d7021f624466b85ac514b0df992c,1,1,"[[""J02_g0_c1_recipient"", ""swap""]]",swap
J02_g0_c1_recipient,swap,forged_opposite,2,"[[""J02_g0_c1_recipient"", ""keep""]]",forged,0,1,"[[""J02_g0_c1_recipient"", ""swap""]]",swap
