condition,stage,task,task_name,n,correct_mean,source_bits_mean,samples_mean,retrievals_mean,operations_mean,assembly_bits_mean,memory_entries_mean,memory_serialized_bytes_mean
binding_permuted,1,2,broad_coarse,3,0.0,3.0,3.0,0.0,3.0,3.0,9.0,391.0
binding_permuted,1,3,ordered_binding,3,0.0,4.0,2.0,0.0,2.0,4.0,8.0,345.0
binding_permuted,1,4,delayed_pair,4,0.0,0.0,0.0,2.0,2.0,4.0,6.0,259.0
binding_permuted,1,5,temporal_order,4,0.5,2.0,1.0,1.0,2.0,4.0,7.0,302.0
current_only_assembly,0,0,focused_0,5,1.0,0.0,0.0,1.0,1.0,2.0,6.0,259.0
current_only_assembly,0,1,focused_5,5,1.0,0.0,0.0,1.0,1.0,2.0,6.0,259.0
current_only_assembly,0,2,broad_coarse,5,1.0,0.0,0.0,3.0,3.0,3.0,6.0,259.0
current_only_assembly,0,3,ordered_binding,5,1.0,0.0,0.0,2.0,2.0,4.0,6.0,259.0
current_only_assembly,1,0,focused_0,3,1.0,2.0,1.0,0.0,1.0,2.0,7.0,302.0
current_only_assembly,1,1,focused_5,3,1.0,2.0,1.0,0.0,1.0,2.0,7.0,302.0
current_only_assembly,1,2,broad_coarse,3,1.0,3.0,3.0,0.0,3.0,3.0,9.0,391.0
current_only_assembly,1,3,ordered_binding,3,1.0,4.0,2.0,0.0,2.0,4.0,8.0,345.0
current_only_assembly,1,4,delayed_pair,4,0.0,0.0,0.0,2.0,2.0,0.0,6.0,259.0
current_only_assembly,1,5,temporal_order,4,0.5,2.0,1.0,1.0,2.0,2.0,7.0,302.0
fixed_all_coarse,0,0,focused_0,5,0.0,6.0,6.0,0.0,6.0,6.0,6.0,259.0
fixed_all_coarse,0,1,focused_5,5,0.4,6.0,6.0,0.0,6.0,6.0,6.0,259.0
fixed_all_coarse,0,2,broad_coarse,5,1.0,6.0,6.0,0.0,6.0,6.0,6.0,259.0
fixed_all_coarse,0,3,ordered_binding,5,0.2,6.0,6.0,0.0,6.0,6.0,6.0,259.0
fixed_all_coarse,1,0,focused_0,3,0.3333333333333333,6.0,6.0,0.0,6.0,6.0,12.0,523.0
fixed_all_coarse,1,1,focused_5,3,0.3333333333333333,6.0,6.0,0.0,6.0,6.0,12.0,523.0
fixed_all_coarse,1,2,broad_coarse,3,1.0,6.0,6.0,0.0,6.0,6.0,12.0,523.0
fixed_all_coarse,1,3,ordered_binding,3,0.0,6.0,6.0,0.0,6.0,6.0,12.0,523.0
fixed_all_coarse,1,4,delayed_pair,4,0.0,6.0,6.0,0.0,6.0,6.0,12.0,523.0
fixed_all_coarse,1,5,temporal_order,4,0.5,6.0,6.0,0.0,6.0,6.0,12.0,523.0
full_record_upper_bound,0,0,focused_0,5,1.0,12.0,6.0,6.0,12.0,12.0,6.0,259.0
full_record_upper_bound,0,1,focused_5,5,1.0,12.0,6.0,6.0,12.0,12.0,6.0,259.0
full_record_upper_bound,0,2,broad_coarse,5,1.0,12.0,6.0,6.0,12.0,12.0,6.0,259.0
full_record_upper_bound,0,3,ordered_binding,5,1.0,12.0,6.0,6.0,12.0,12.0,6.0,259.0
full_record_upper_bound,1,0,focused_0,3,1.0,12.0,6.0,12.0,18.0,24.0,12.0,517.0
full_record_upper_bound,1,1,focused_5,3,1.0,12.0,6.0,12.0,18.0,24.0,12.0,517.0
full_record_upper_bound,1,2,broad_coarse,3,1.0,12.0,6.0,12.0,18.0,24.0,12.0,517.0
full_record_upper_bound,1,3,ordered_binding,3,1.0,12.0,6.0,12.0,18.0,24.0,12.0,517.0
full_record_upper_bound,1,4,delayed_pair,4,1.0,12.0,6.0,12.0,18.0,24.0,12.0,517.0
full_record_upper_bound,1,5,temporal_order,4,1.0,12.0,6.0,12.0,18.0,24.0,12.0,517.0
learned_assembly,0,0,focused_0,5,1.0,0.0,0.0,1.0,1.0,2.0,6.0,259.0
learned_assembly,0,1,focused_5,5,1.0,0.0,0.0,1.0,1.0,2.0,6.0,259.0
learned_assembly,0,2,broad_coarse,5,1.0,0.0,0.0,3.0,3.0,3.0,6.0,259.0
learned_assembly,0,3,ordered_binding,5,1.0,0.0,0.0,2.0,2.0,4.0,6.0,259.0
learned_assembly,1,0,focused_0,3,1.0,2.0,1.0,0.0,1.0,2.0,7.0,302.0
learned_assembly,1,1,focused_5,3,1.0,2.0,1.0,0.0,1.0,2.0,7.0,302.0
learned_assembly,1,2,broad_coarse,3,1.0,3.0,3.0,0.0,3.0,3.0,9.0,391.0
learned_assembly,1,3,ordered_binding,3,1.0,4.0,2.0,0.0,2.0,4.0,8.0,345.0
learned_assembly,1,4,delayed_pair,4,1.0,0.0,0.0,2.0,2.0,4.0,6.0,259.0
learned_assembly,1,5,temporal_order,4,1.0,2.0,1.0,1.0,2.0,4.0,7.0,302.0
matched_attention,0,0,focused_0,5,1.0,0.0,0.0,1.0,1.0,2.0,6.0,259.0
matched_attention,0,1,focused_5,5,1.0,0.0,0.0,1.0,1.0,2.0,6.0,259.0
matched_attention,0,2,broad_coarse,5,1.0,0.0,0.0,3.0,3.0,3.0,6.0,259.0
matched_attention,0,3,ordered_binding,5,1.0,0.0,0.0,2.0,2.0,4.0,6.0,259.0
matched_attention,1,0,focused_0,3,1.0,2.0,1.0,0.0,1.0,2.0,7.0,302.0
matched_attention,1,1,focused_5,3,1.0,2.0,1.0,0.0,1.0,2.0,7.0,302.0
matched_attention,1,2,broad_coarse,3,1.0,3.0,3.0,0.0,3.0,3.0,9.0,391.0
matched_attention,1,3,ordered_binding,3,1.0,4.0,2.0,0.0,2.0,4.0,8.0,345.0
matched_attention,1,4,delayed_pair,4,1.0,0.0,0.0,2.0,2.0,4.0,6.0,259.0
matched_attention,1,5,temporal_order,4,1.0,2.0,1.0,1.0,2.0,4.0,7.0,302.0
memory_reset_at_switch,0,0,focused_0,5,1.0,0.0,0.0,1.0,1.0,2.0,6.0,259.0
memory_reset_at_switch,0,1,focused_5,5,1.0,0.0,0.0,1.0,1.0,2.0,6.0,259.0
memory_reset_at_switch,0,2,broad_coarse,5,1.0,0.0,0.0,3.0,3.0,3.0,6.0,259.0
memory_reset_at_switch,0,3,ordered_binding,5,1.0,0.0,0.0,2.0,2.0,4.0,6.0,259.0
memory_reset_at_switch,1,0,focused_0,3,1.0,2.0,1.0,0.0,1.0,2.0,1.0,44.0
memory_reset_at_switch,1,1,focused_5,3,1.0,2.0,1.0,0.0,1.0,2.0,1.0,44.0
memory_reset_at_switch,1,2,broad_coarse,3,1.0,3.0,3.0,0.0,3.0,3.0,3.0,133.0
memory_reset_at_switch,1,3,ordered_binding,3,1.0,4.0,2.0,0.0,2.0,4.0,2.0,87.0
memory_reset_at_switch,1,4,delayed_pair,4,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0
memory_reset_at_switch,1,5,temporal_order,4,0.5,2.0,1.0,1.0,2.0,2.0,1.0,44.0
no_new_sampling_after_change,0,0,focused_0,5,1.0,0.0,0.0,1.0,1.0,2.0,6.0,259.0
no_new_sampling_after_change,0,1,focused_5,5,1.0,0.0,0.0,1.0,1.0,2.0,6.0,259.0
no_new_sampling_after_change,0,2,broad_coarse,5,1.0,0.0,0.0,3.0,3.0,3.0,6.0,259.0
no_new_sampling_after_change,0,3,ordered_binding,5,1.0,0.0,0.0,2.0,2.0,4.0,6.0,259.0
no_new_sampling_after_change,1,0,focused_0,3,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,6.0,259.0
no_new_sampling_after_change,1,1,focused_5,3,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,6.0,259.0
no_new_sampling_after_change,1,2,broad_coarse,3,0.0,0.0,0.0,0.0,3.0,0.0,6.0,259.0
no_new_sampling_after_change,1,3,ordered_binding,3,0.0,0.0,0.0,0.0,2.0,0.0,6.0,259.0
no_new_sampling_after_change,1,4,delayed_pair,4,1.0,0.0,0.0,2.0,2.0,4.0,6.0,259.0
no_new_sampling_after_change,1,5,temporal_order,4,0.5,0.0,0.0,1.0,2.0,2.0,6.0,259.0
time_order_reversed,0,0,focused_0,5,1.0,0.0,0.0,1.0,1.0,2.0,6.0,259.0
time_order_reversed,0,1,focused_5,5,1.0,0.0,0.0,1.0,1.0,2.0,6.0,259.0
time_order_reversed,0,2,broad_coarse,5,1.0,0.0,0.0,3.0,3.0,3.0,6.0,259.0
time_order_reversed,0,3,ordered_binding,5,1.0,0.0,0.0,2.0,2.0,4.0,6.0,259.0
time_order_reversed,1,0,focused_0,3,0.3333333333333333,2.0,1.0,0.0,1.0,2.0,7.0,302.0
time_order_reversed,1,1,focused_5,3,0.3333333333333333,2.0,1.0,0.0,1.0,2.0,7.0,302.0
time_order_reversed,1,2,broad_coarse,3,0.0,3.0,3.0,0.0,3.0,3.0,9.0,391.0
time_order_reversed,1,3,ordered_binding,3,0.0,4.0,2.0,0.0,2.0,4.0,8.0,345.0
time_order_reversed,1,4,delayed_pair,4,0.0,0.0,0.0,2.0,2.0,4.0,6.0,259.0
time_order_reversed,1,5,temporal_order,4,0.25,2.0,1.0,1.0,2.0,4.0,7.0,302.0
