family,split,giver,expected,other,arm,patch_norm,target_id,alternative_id,target_logit,alternative_logit,contrast,target_probability,top_id,top_text,recipient,target_top1,alternative_top1,invalid_top1,max_logit_difference_from_clean
F04,heldout,David,Emma,David,donor_r8,24.29584312438965,18966,3271,-86.1529769897461,-87.65646362304688,1.5034866333007812,0.07172273945551776,607, her,INVALID,0,0,1,2.8974533081054688
F04,heldout,David,Emma,David,donor_a9,6.72818660736084,18966,3271,-92.63326263427734,-92.29234313964844,-0.34091949462890625,0.029730828323458934,683, him,INVALID,0,0,1,6.876518249511719
F04,heldout,David,Emma,David,unrelated_norm,24.29584312438965,18966,3271,-92.4261474609375,-90.70130920410156,-1.7248382568359375,0.020174415572989185,3271, David,David,0,1,0,6.91357421875
F04,heldout,David,Emma,David,permuted_norm,24.29584312438965,18966,3271,-94.97654724121094,-93.04157257080078,-1.9349746704101562,0.013363598004183026,607, her,INVALID,0,0,1,9.615280151367188
F04,heldout,David,Emma,David,wrong_address,24.29584312438965,18966,3271,-95.07833099365234,-93.32633209228516,-1.7519989013671875,0.01972219835836624,607, her,INVALID,0,0,1,10.146240234375
F04,heldout,David,Emma,David,inverse_norm,24.29584312438965,18966,3271,-98.98672485351562,-94.41664123535156,-4.5700836181640625,0.003758979717470856,3271, David,David,0,1,0,13.82403564453125
F04,heldout,David,Emma,David,cache_restore,0.0,18966,3271,-85.8369140625,-89.1578140258789,3.3208999633789062,0.1825058059871111,18966, Emma,Emma,1,0,0,0.0
F04,heldout,Emma,David,Emma,clean,0.0,3271,18966,-93.76384735107422,-95.59728240966797,1.83343505859375,0.12000764114129021,607, her,INVALID,0,0,1,0.0
F04,heldout,Emma,David,Emma,corrupt,0.0,3271,18966,-89.1578140258789,-85.8369140625,-3.3208999633789062,0.0065921663193025115,18966, Emma,Emma,0,1,0,10.745269775390625
F04,heldout,Emma,David,Emma,donor_r7,13.052440643310547,3271,18966,-92.54231262207031,-90.36273193359375,-2.1795806884765625,0.015257562341002867,683, him,INVALID,0,0,1,5.93719482421875
F04,heldout,Emma,David,Emma,donor_r8,24.29584312438965,3271,18966,-94.21033477783203,-94.91556549072266,0.705230712890625,0.055548054937328936,683, him,INVALID,0,0,1,2.5957794189453125
F04,heldout,Emma,David,Emma,donor_a9,6.72818660736084,3271,18966,-90.48020935058594,-88.60820007324219,-1.87200927734375,0.016493313203752323,607, her,INVALID,0,0,1,7.20281982421875
F04,heldout,Emma,David,Emma,unrelated_norm,24.29584312438965,3271,18966,-85.23628234863281,-83.2061996459961,-2.0300827026367188,0.014743473116482853,465, his,INVALID,0,0,1,13.991958618164062
F04,heldout,Emma,David,Emma,permuted_norm,24.29584312438965,3271,18966,-89.0599594116211,-85.446533203125,-3.6134262084960938,0.006182078085432328,18966, Emma,Emma,0,1,0,10.982337951660156
F04,heldout,Emma,David,Emma,wrong_address,24.29584312438965,3271,18966,-89.32722473144531,-86.11446380615234,-3.2127609252929688,0.007179984780934182,18966, Emma,Emma,0,1,0,10.423538208007812
F04,heldout,Emma,David,Emma,inverse_norm,24.29584312438965,3271,18966,-81.83350372314453,-76.60881805419922,-5.2246856689453125,0.0018368755777472053,18966, Emma,Emma,0,1,0,20.34954833984375
F04,heldout,Emma,David,Emma,cache_restore,0.0,3271,18966,-93.76384735107422,-95.59728240966797,1.83343505859375,0.12000764114129021,607, her,INVALID,0,0,1,0.0
F05,heldout,Robert,Linda,Robert,clean,0.0,21776,5199,-81.89615631103516,-85.05042266845703,3.154266357421875,0.2822853851270734,21776, Linda,Linda,1,0,0,0.0
F05,heldout,Robert,Linda,Robert,corrupt,0.0,21776,5199,-95.1357421875,-92.18733215332031,-2.9484100341796875,0.014094906869912526,5199, Robert,Robert,0,1,0,13.469490051269531
F05,heldout,Robert,Linda,Robert,donor_r7,13.2470121383667,21776,5199,-93.18029022216797,-91.15360260009766,-2.0266876220703125,0.02345272575001324,5199, Robert,Robert,0,1,0,11.626754760742188
F05,heldout,Robert,Linda,Robert,donor_r8,27.914945602416992,21776,5199,-84.11567687988281,-85.72159576416016,1.6059188842773438,0.13504312186734543,607, her,INVALID,0,0,1,3.2905044555664062
F05,heldout,Robert,Linda,Robert,donor_a9,10.673604011535645,21776,5199,-86.87828063964844,-85.79827880859375,-1.0800018310546875,0.03599522516045825,607, her,INVALID,0,0,1,4.982124328613281
F05,heldout,Robert,Linda,Robert,unrelated_norm,27.914947509765625,21776,5199,-90.27285766601562,-87.26642608642578,-3.0064315795898438,0.01221346572595079,5199, Robert,Robert,0,1,0,8.376701354980469
F05,heldout,Robert,Linda,Robert,permuted_norm,27.914945602416992,21776,5199,-97.65181732177734,-94.866943359375,-2.7848739624023438,0.01336131259113017,5199, Robert,Robert,0,1,0,16.11998748779297
F05,heldout,Robert,Linda,Robert,wrong_address,27.914945602416992,21776,5199,-95.23377227783203,-92.4203872680664,-2.813385009765625,0.01538256691238678,5199, Robert,Robert,0,1,0,13.721061706542969
F05,heldout,Robert,Linda,Robert,inverse_norm,27.914945602416992,21776,5199,-97.75785064697266,-92.47992706298828,-5.277923583984375,0.0017362990165913598,5199, Robert,Robert,0,1,0,15.8616943359375
F05,heldout,Robert,Linda,Robert,cache_restore,0.0,21776,5199,-81.89615631103516,-85.05042266845703,3.154266357421875,0.2822853851270734,21776, Linda,Linda,1,0,0,0.0
F05,heldout,Linda,Robert,Linda,clean,0.0,5199,21776,-92.18733215332031,-95.1357421875,2.9484100341796875,0.268868806219056,5199, Robert,Robert,1,0,0,0.0
F05,heldout,Linda,Robert,Linda,corrupt,0.0,5199,21776,-85.05042266845703,-81.89615631103516,-3.154266357421875,0.012045030952260479,21776, Linda,Linda,0,1,0,13.469490051269531
F05,heldout,Linda,Robert,Linda,donor_r7,13.2470121383667,5199,21776,-87.81050872802734,-85.92376708984375,-1.8867416381835938,0.03167172553836093,21776, Linda,Linda,0,1,0,9.364967346191406
F05,heldout,Linda,Robert,Linda,donor_r8,27.914945602416992,5199,21776,-93.30587768554688,-94.67608642578125,1.370208740234375,0.11270409328161184,5199, Robert,Robert,1,0,0,1.9512252807617188
F05,heldout,Linda,Robert,Linda,donor_a9,10.673604011535645,5199,21776,-92.25529479980469,-89.7584457397461,-2.4968490600585938,0.02629188108816023,21776, Linda,Linda,0,1,0,5.377296447753906
F05,heldout,Linda,Robert,Linda,unrelated_norm,27.914947509765625,5199,21776,-80.40180969238281,-78.71905517578125,-1.6827545166015625,0.033884737157675884,21776, Linda,Linda,0,1,0,18.750877380371094
F05,heldout,Linda,Robert,Linda,permuted_norm,27.914945602416992,5199,21776,-84.9467544555664,-81.69552612304688,-3.2512283325195312,0.010653235208500771,21776, Linda,Linda,0,1,0,14.231613159179688
F05,heldout,Linda,Robert,Linda,wrong_address,27.914945602416992,5199,21776,-85.0762939453125,-81.97181701660156,-3.1044769287109375,0.012628311565415756,21776, Linda,Linda,0,1,0,13.349479675292969
F05,heldout,Linda,Robert,Linda,inverse_norm,27.914945602416992,5199,21776,-79.59303283691406,-72.59977722167969,-6.993255615234375,0.0006330429614291206,21776, Linda,Linda,0,1,0,22.535964965820312
F05,heldout,Linda,Robert,Linda,cache_restore,0.0,5199,21776,-92.18733215332031,-95.1357421875,2.9484100341796875,0.268868806219056,5199, Robert,Robert,1,0,0,0.0
F06,heldout,David,Emma,David,clean,0.0,18966,3271,-108.69497680664062,-111.46720886230469,2.7722320556640625,0.05877829262644583,262, the,INVALID,0,0,1,0.0
F06,heldout,David,Emma,David,corrupt,0.0,18966,3271,-108.73524475097656,-109.8299560546875,1.0947113037109375,0.033205543443170824,262, the,INVALID,0,0,1,2.0893630981445312
F06,heldout,David,Emma,David,donor_r7,7.3364715576171875,18966,3271,-107.20966339111328,-108.71147155761719,1.5018081665039062,0.03385881461370744,262, the,INVALID,0,0,1,3.59991455078125
F06,heldout,David,Emma,David,donor_r8,10.880229949951172,18966,3271,-109.64519500732422,-111.80117797851562,2.1559829711914062,0.04069273145304144,262, the,INVALID,0,0,1,2.3391342163085938
F06,heldout,David,Emma,David,donor_a9,1.7269582748413086,18966,3271,-109.5485610961914,-111.28105163574219,1.7324905395507812,0.040478689059663404,262, the,INVALID,0,0,1,1.8025741577148438
F06,heldout,David,Emma,David,unrelated_norm,10.880228996276855,18966,3271,-107.72648620605469,-108.36126708984375,0.6347808837890625,0.0334205900712343,262, the,INVALID,0,0,1,3.3014907836914062
F06,heldout,David,Emma,David,permuted_norm,10.880229949951172,18966,3271,-110.4903793334961,-111.52377319335938,1.0333938598632812,0.03172651766128524,262, the,INVALID,0,0,1,3.23773193359375
F06,heldout,David,Emma,David,wrong_address,10.880229949951172,18966,3271,-108.40079498291016,-109.45097351074219,1.0501785278320312,0.030919398704345808,262, the,INVALID,0,0,1,2.4326019287109375
F06,heldout,David,Emma,David,inverse_norm,10.880229949951172,18966,3271,-109.06555938720703,-109.0153579711914,-0.050201416015625,0.02525092017014013,262, the,INVALID,0,0,1,2.4518508911132812
F06,heldout,David,Emma,David,cache_restore,0.0,18966,3271,-108.69497680664062,-111.46720886230469,2.7722320556640625,0.05877829262644583,262, the,INVALID,0,0,1,0.0
F06,heldout,Emma,David,Emma,clean,0.0,3271,18966,-109.8299560546875,-108.73524475097656,-1.0947113037109375,0.011111776917740316,262, the,INVALID,0,0,1,0.0
F06,heldout,Emma,David,Emma,corrupt,0.0,3271,18966,-111.46720886230469,-108.69497680664062,-2.7722320556640625,0.003674953788617004,262, the,INVALID,0,0,1,2.0893630981445312
F06,heldout,Emma,David,Emma,donor_r7,7.3364715576171875,3271,18966,-111.75335693359375,-109.62736511230469,-2.1259918212890625,0.0052494957847051375,262, the,INVALID,0,0,1,2.5096664428710938
F06,heldout,Emma,David,Emma,donor_r8,10.880229949951172,3271,18966,-110.42439270019531,-108.85292053222656,-1.57147216796875,0.007816339548533726,262, the,INVALID,0,0,1,1.5933151245117188
F06,heldout,Emma,David,Emma,donor_a9,1.7269582748413086,3271,18966,-111.48411560058594,-109.51701354980469,-1.96710205078125,0.0052610908273156886,262, the,INVALID,0,0,1,2.0876007080078125
F06,heldout,Emma,David,Emma,unrelated_norm,10.880229949951172,3271,18966,-109.24188995361328,-106.34465789794922,-2.8972320556640625,0.0051274437701041686,262, the,INVALID,0,0,1,3.7257919311523438
F06,heldout,Emma,David,Emma,permuted_norm,10.880229949951172,3271,18966,-110.94135284423828,-108.08201599121094,-2.8593368530273438,0.003719076426179948,262, the,INVALID,0,0,1,2.16119384765625
F06,heldout,Emma,David,Emma,wrong_address,10.880229949951172,3271,18966,-112.89580535888672,-110.16091918945312,-2.7348861694335938,0.00387536652693526,262, the,INVALID,0,0,1,3.5076446533203125
F06,heldout,Emma,David,Emma,inverse_norm,10.880229949951172,3271,18966,-111.61096954345703,-107.7114028930664,-3.899566650390625,0.001501621328311169,262, the,INVALID,0,0,1,2.6529006958007812
F06,heldout,Emma,David,Emma,cache_restore,0.0,3271,18966,-109.8299560546875,-108.73524475097656,-1.0947113037109375,0.011111776917740316,262, the,INVALID,0,0,1,0.0
F07,heldout,Robert,Linda,Robert,clean,0.0,21776,5199,-114.64651489257812,-115.5298080444336,0.8832931518554688,0.019374794840301298,262, the,INVALID,0,0,1,0.0
F07,heldout,Robert,Linda,Robert,corrupt,0.0,21776,5199,-116.02631378173828,-115.55421447753906,-0.47209930419921875,0.0075108609446375724,262, the,INVALID,0,0,1,2.3124313354492188
F07,heldout,Robert,Linda,Robert,donor_r7,7.136590003967285,21776,5199,-113.62489318847656,-113.64684295654297,0.02194976806640625,0.011427914749768241,262, the,INVALID,0,0,1,3.1604156494140625
F07,heldout,Robert,Linda,Robert,donor_r8,11.075855255126953,21776,5199,-113.77185821533203,-114.72290802001953,0.9510498046875,0.02371521234549777,262, the,INVALID,0,0,1,2.4404678344726562
F07,heldout,Robert,Linda,Robert,donor_a9,1.5811842679977417,21776,5199,-115.07621765136719,-114.99618530273438,-0.0800323486328125,0.009066043954969974,262, the,INVALID,0,0,1,1.8920669555664062
